"Name","Key","Value"
"10.97.168.0","10.97.168.0","yes"
"192.168.10.0","192.168.10.0","yes"
"10.98.56.0","10.98.56.0","yes"
"10.98.216.0","10.98.216.0","no"
"192.168.154.32","192.168.154.32","yes"
"192.168.143.0","192.168.143.0","yes"
"10.96.8.0","10.96.8.0","yes"
"192.168.222.0","192.168.222.0","yes"
"10.97.144.0","10.97.144.0","yes"
"10.98.184.0","10.98.184.0","yes"
"10.100.48.0","10.100.48.0","no"
"10.100.64.0","10.100.64.0","yes"
"10.98.0.0","10.98.0.0","no"
"10.78.26.0","10.78.26.0","yes"
"192.168.158.0","192.168.158.0","no"
"192.168.132.0","192.168.132.0","no"
"10.98.112.0","10.98.112.0","yes"
"10.96.104.0","10.96.104.0","yes"
"10.97.128.0","10.97.128.0","yes"
"10.96.96.0","10.96.96.0","yes"
"10.96.168.0","10.96.168.0","yes"
"10.97.208.0","10.97.208.0","no"
"10.78.40.0","10.78.40.0","no"
"192.168.125.0","192.168.125.0","yes"
"10.80.90.0","10.80.90.0","yes"
"10.96.0.0","10.96.0.0","yes"
"10.10.29.0","10.10.29.0","no"
"10.10.24.0","10.10.24.0","no"
"10.128.18.0","10.128.18.0","yes"
"10.10.26.0","10.10.26.0","no"
"10.96.88.0","10.96.88.0","yes"
"192.168.205.0","192.168.205.0","yes"
"10.98.64.0","10.98.64.0","yes"
"10.80.68.0","10.80.68.0","yes"
"10.98.88.0","10.98.88.0","yes"
"10.98.208.0","10.98.208.0","yes"
"10.97.120.0","10.97.120.0","yes"
"10.96.128.0","10.96.128.0","yes"
"10.80.10.0","10.80.10.0","no"
"10.96.208.0","10.96.208.0","yes"
"10.97.72.0","10.97.72.0","yes"
"192.168.162.0","192.168.162.0","yes"
"10.98.176.0","10.98.176.0","no"
"10.80.108.0","10.80.108.0","no"
"10.96.48.0","10.96.48.0","yes"
"10.97.80.0","10.97.80.0","yes"
"10.80.104.0","10.80.104.0","yes"
"10.96.240.0","10.96.240.0","yes"
"10.10.1.0","10.10.1.0","no"
"10.98.232.0","10.98.232.0","no"
"10.80.14.0","10.80.14.0","yes"
"10.97.40.0","10.97.40.0","no"
"10.75.7.0","10.75.7.0","yes"
"10.80.40.0","10.80.40.0","no"
"10.99.208.0","10.99.208.0","no"
"10.97.160.0","10.97.160.0","yes"
"10.88.6.0","10.88.6.0","yes"
"10.99.144.0","10.99.144.0","no"
"10.96.152.0","10.96.152.0","yes"
"10.96.224.0","10.96.224.0","yes"
"192.168.2.0","192.168.2.0","yes"
"10.77.0.0","10.77.0.0","yes"
"192.168.160.0","192.168.160.0","yes"
"192.168.220.32","192.168.220.32","yes"
"10.80.88.0","10.80.88.0","yes"
"10.97.16.0","10.97.16.0","yes"
"10.80.46.0","10.80.46.0","no"
"10.96.192.0","10.96.192.0","yes"
"10.97.96.0","10.97.96.0","no"
"10.80.47.0","10.80.47.0","yes"
"10.99.240.0","10.99.240.0","no"
"10.99.176.0","10.99.176.0","no"
"10.96.160.0","10.96.160.0","yes"
"10.78.27.0","10.78.27.0","yes"
"10.80.44.0","10.80.44.0","yes"
